word,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
burgeon,prosper,snowball,sprout,blossom,bud
burnish,buff,furbish,glance,glaze,gloss
buttress,abutment,column,mainstay,pier,prop
cacophonous,discordant,noisy,raucous,clinking,disharmonic
capricious,arbitrary,careless,erratic,fickle,flighty
castigation,chastisement,discipline,penalty,reproof,retribution
catalyst,impetus,incentive,motivation,stimulant,adjuvant
caustic,abrasive,acerbic,acid,biting,mordant
chicanery,dishonesty,duplicity,machination,stratagem,artifice
coagulate,clabber,coalesce,compact,concentrate,concrete
coda,farewell,windup,adieu,climax,closer
cogent,compelling,convincing,forceful,persuasive,telling
commensurate,comparable,compatible,consistent,proportionate,sufficient
compendium,abstract,brief,conspectus,digest,epitome
complaisant,accommodating,amiable,compliant,conciliatory,deferential
compliant,docile,flexible,willing,easy,manageable
conciliatory,appeasing,assuaging,calm,civil,disarming
condone,excuse,forget,forgive,ignore,wink at
confound,amaze,astonish,astound,baffle,bewilder
connoisseur,aficionado,buff,devotee,dilettante,adept
contention,argument,conflict,controversy,dispute,rivalry
contentious,antagonistic,combative,testy,argumentative,belligerent
contrite,apologetic,humble,remorseful,repentant,sorry
conundrum,enigma,mystery,riddle,brain-teaser,mystification
converge,assemble,concentrate,mingle,coincide,combine
convoluted,intricate,labyrinthine,perplexing,puzzling,tangled
craven,mean-spirited,chicken,yellow,cowardly,dastardly
daunt,appall,baffle,deter,discourage,dishearten
decorum,civility,correctness,decency,demeanor,dignity
default,delinquency,nonpayment,absence,blemish,blunder
deference,yielding,acquiescence,capitulation,complaisance,condescension
delineate,define,depict,lay out,limn,characterize
denigrate,besmirch,defame,disparage,impugn,slander
deride,disdain,disparage,mock,ridicule,scoff
derivative,cognate,secondary,subordinate,acquired,ancestral
desiccate,dehydrate,deplete,devitalize,divest,drain
desultory,aimless,chaotic,erratic,haphazard,chance
deterrent,disincentive,hindrance,obstacle,bridle,check
diatribe,denunciation,invective,jeremiad,screed,tirade
dichotomy,difference of opinion,difference,disagreement,disunion,separation
diffidence,backwardness,bashfulness,constraint,doubt,fear
diffuse,broadcast,circulated,diluted,dispersed,disseminated
digression,detour,footnote,apostrophe,aside,deflection
dirge,elegy,hymn,chant,coronach,cry
disabuse,debunk,disillusion,enlighten,correct,disenchant
discerning,astute,insightful,knowledgeable,penetrating,perceptive
discordant,cacophonous,clashing,dissonant,divergent,jarring
discredit,defame,degrade,destroy,disgrace,disparage
discrepancy,difference,disparity,distinction,divergence,error
discrete,disconnected,distinct,various,detached,different
disingenuous,deceitful,dishonest,false,unfair,artful
disinterested,aloof,casual,dispassionate,impartial,indifferent
disjointed,confused,incoherent,jumbled,rambling,cool
dismiss,decline,disband,dissolve,expel,let go
disparage,belittle,decry,defame,degrade,denigrate
disparate,contrasting,discordant,dissimilar,distinct,divergent
dissemble,affect,camouflage,cloak,conceal,counterfeit
disseminate,advertise,circulate,disperse,propagate,publicize
dissolution,disintegration,divorce,partition,detachment,disunion
dissonance,discord,discrepancy,disparity,dissension,incongruity
distend,amplify,augment,balloon,bloat,dilate
distill,condense,extract,infuse,refine,brew
diverge,deviate,radiate,stray,veer,bend
divest,bankrupt,deprive,dismantle,rob,unload
document,archive,certificate,diary,evidence,form
dogmatic,arbitrary,arrogant,assertive,categorical,emphatic
dormant,asleep,comatose,inert,inoperative,latent
dupe,patsy,sitting duck,butt,chump,fish
ebullient,agitated,brash,buoyant,chipper,effervescent
eclectic,broad,diverse,varied,wide-ranging,catholic
efficacy,adequacy,competence,effectiveness,potency,virtue
effrontery,arrogance,assurance,audacity,backtalk,brashness
elegy,knell,lament,plaint,requiem,threnody
elicit,bring out,evoke,extort,extract,obtain
embellish,adorn,bedeck,dress up,embroider,exaggerate
empirical,experimental,factual,observational,empiric,experient
emulate,follow suit,imitate,mimic,mirror,challenge
endemic,local,regional,ancient,earliest,endemic
enervate,debilitate,devitalize,disable,enfeeble,exhaust
engender,arouse,beget,breed,bring about,foment
enhance,add to,appreciate,augment,boost,build up
ephemeral,fleeting,short-lived,transitory,brief,fugitive
equanimity,aplomb,calmness,composure,coolness,serenity
equivocate,cavil,con,dodge,elude,escape
erudite,knowledgeable,literate,scholarly,brainy,cultivated
esoteric,abstruse,arcane,mystical,Delphic,acroamatic
eulogy,citation,paean,tribute,acclaim,accolade
euphemism,circumlocution,delicacy,floridness,grandiloquence,inflation
exacerbate,aggravate,annoy,heighten,inflame,intensify
exculpate,absolve,acquit,amnesty,clear,condone
exigency,contingency,vicissitude,acuteness,constraint,crisis
extrapolation,calculation,estimate,estimation,forecast,computation
facetious,amusing,blithe,capering,clever,comic
facilitate,aid,ease,expedite,further,help
fallacious,beguiling,deceiving,deceptive,deluding,delusive
fatuous,absurd,asinine,birdbrained,boneheaded,brainless
fawning,flattering,bootlicking,bowing,cowering,crawling
felicitous,apt,opportune,propitious,telling,applicable
fervor,ardor,earnestness,intensity,passion,piety
flag,banner,emblem,streamer,colors,ensign
fledgling,apprentice,chick,colt,greenhorn,learner
flout,defy,disregard,mock,repudiate,scorn
foment,abet,arouse,brew,incite,whip up
forestall,anticipate,avert,deter,hinder,preclude
frugality,moderation,prudence,thrift,avarice,avariciousness
futile,fruitless,hollow,impractical,ineffective,ineffectual
gainsay,combat,contravene,controvert,cross,deny
garrulous,chatty,glib,loquacious,voluble,babbling
goad,catalyst,compulsion,desire,drive,impetus
gouge,channel,cut,excavation,furrow,gash
grandiloquent,aureate,big-talking,bombastic,declamatory,euphistic
gregarious,affable,sociable,clubby,companionable,convivial
guileless,unsophisticated,aboveboard,artless,candid,frank
gullible,foolish,unsophisticated,unsuspecting,wide-eyed,being a sucker
harangue,diatribe,discourse,jeremiad,oration,screed
homogenous,akin,alike,analogous,cognate,consistent
hyperbole,hype,metaphor,overstatement,PR,amplification
iconoclast,critic,cynic,dissenter,dissident,heretic
idolatry,adoration,worship,idolism,account,adoration
immutable,abiding,enduring,immovable,inflexible,sacrosanct
impair,blunt,damage,debilitate,decrease,destroy
impassive,emotionless,matter-of-fact,placid,reticent,serene
impede,block,curb,cut off,delay,deter
impermeable,airtight,dense,hermetic,impassable,impervious
imperturbable,assured,complacent,composed,cool,cool as cucumber
impervious,immune,impassable,impenetrable,inaccessible,invulnerable
implacable,inexorable,intractable,relentless,ruthless,uncompromising
implicit,constant,contained,definite,implied,latent
implode,cave in,fall down,fold,fall in,fold up
inadvertently,negligently,recklessly,heedlessly,rashly,by chance
inchoate,amorphous,elementary,embryonic,formless,immature
incongruity,inconsistency,difference,inappropriateness,mismatch,BS
inconsequential,insignificant,negligible,trivial,unimportant,worthless
incorporate,absorb,assimilate,blend,consolidate,cover
indeterminate,undetermined,borderless,general,imprecise,inconclusive
indigence,destitution,penury,wealth,Chapter 11,defalcation
indolent,drony,easygoing,fainéant,idle,inactive
inert,dormant,immobile,impotent,inactive,listless
ingenuous,artless,candid,childlike,frank,green
inherent,built-in,constitutional,deep-rooted,deep-seated,essential
innocuous,banal,bland,inoffensive,insipid,painless
insensible,cold,gradual,imperceivable,imperceptible,inanimate
insinuate,allude,ascribe,connote,imply,impute
insipid,banal,bland,ho-hum,innocuous,trite
insularity,bias,bigotry,intolerance,prejudice,fairness
intractable,incurable,intransigent,stubborn,uncompromising,unmanageable
intransigence,inflexibility,obstinacy,bullheadedness,contumacy,doggedness
inundate,deluge,engulf,flood,overflow,overrun
inured,acclimate,familiarize,habituate,harden,season
invective,denunciation,diatribe,epithet,tirade,accusation
irascible,cantankerous,cranky,feisty,grouchy,passionate
irresolute,changing,doubtful,doubting,faltering,fearful
itinerary,guidebook,journey,path,route,tour
laconic,brusque,pithy,terse,breviloquent,brief
lassitude,apathy,dullness,exhaustion,fatigue,idleness
latent,inherent,lurking,smoldering,suppressed,underlying
laud,admire,adore,celebrate,commend,compliment
lethargic,apathetic,dull,lackadaisical,laid-back,languid
levee,dam,bank,breakwater,earthwork,mound
levity,frivolity,giddiness,hilarity,mirth,repartee
log,chunk,piece,timber,wood,block
loquacious,chatty,garrulous,long-winded,voluble,babbling
lucid,luminous,unambiguous,apprehensible,clear,clear-cut
luminous,brilliant,incandescent,lucid,lustrous,radiant
magnanimity,chivalry,philanthropy,meanness,selfishness,benevolence
malingerer,dodger,goof-off,idler,loafer,shirker
malleable,adaptable,flexible,supple,workable,compliant
maverick,bohemian,dissenter,extremist,malcontent,nonconformist
mendacious,deceitful,deceptive,duplicitous,equivocating,erroneous
metamorphosis,evolution,rebirth,alteration,change,changeover
meticulous,accurate,cautious,conscientious,exact,fastidious
misanthrope,cynic,doubter,egoist,egotist,hater
mitigate,allay,alleviate,assuage,blunt,dull
mollify,allay,alleviate,ameliorate,appease,assuage
morose,cranky,dour,gloomy,glum,grouchy
mundane,banal,day-to-day,everyday,humdrum,normal
negate,annihilate,belie,cancel out,disallow,disprove
neophyte,newcomer,novice,abecedarian,amateur,apprentice
obdurate,adamant,bullhead,callous,cold fish,dogged
obsequious,abject,beggarly,brownnosing,complacent,compliable
obviate,counteract,forestall,preclude,anticipate,avert
occlude,choke,clog,close,congest,curb
officious,busy,forward,impertinent,inquisitive,interfering
onerous,arduous,backbreaking,burdensome,cumbersome,demanding
opprobium,opprobious,opprobriums,,,
oscillate,fluctuate,lurch,seesaw,teeter,vacillate
ostentatious,classy,conspicuous,extravagant,flamboyant,garish
paragon,apotheosis,epitome,exemplar,archetype,beauty
partisan,biased,one-sided,sectarian,sympathetic,unjust
pathological,medicinal,pharmaceutical,preventive,therapeutic,cathartic
paucity,dearth,insufficiency,smallness,absence,deficiency
pedantic,abstruse,pompous,stilted,academic,arid
penchant,affection,affinity,predilection,proclivity,propensity
penury,barrenness,dearth,destitution,indigence,insufficiency
perennial,chronic,continual,continuing,eternal,longstanding
perfidious,betraying,deceitful,deceptive,double-crossing,double-dealing
perfunctory,cursory,offhand,sketchy,superficial,apathetic
permeable,absorptive,accessible,enterable,passable,pervious
pervasive,common,inescapable,omnipresent,prevalent,rife
phlegmatic,along for the ride,apathetic,blah,cold,cool
piety,fervor,loyalty,religiosity,reverence,zeal
placate,appease,assuage,mollify,pacify,reconcile
plasticity,elasticity,flexibility,malleability,mobility,resilience
platitude,banality,bromide,buzzword,chestnut,commonplace
plethora,deluge,glut,overabundance,plenty,profusion
plummet,collapse,crash,decline,decrease,descend
porous,absorptive,penetrable,permeable,pervious,spongelike
pragmatic,businesslike,down-to-earth,efficient,hardheaded,logical
preamble,preface,prelude,background meeting,conference,directions
precarious,dangerous,delicate,dicey,hazardous,insecure
precipitate,accelerate,expedite,hasten,trigger,advance
precursor,forerunner,harbinger,herald,messenger,outrider
presumptuous,arrogant,foolhardy,overconfident,pompous,pretentious
prevaricate,belie,cavil,con,distort,dodge
pristine,immaculate,intact,natural,snowy,spotless
probity,integrity,morality,rectitude,righteousness,rightness
problematic,ambiguous,dubious,moot,precarious,puzzling
prodigal,profligate,spendthrift,squandering,wanton,dissipated
profound,deep,intelligent,philosophical,serious,subtle
prohibitive,excessive,exorbitant,preposterous,steep,expensive
proliferate,breed,burgeon,escalate,generate,multiply
propensity,bias,disposition,leaning,penchant,predilection
propitiate,appease,assuage,atone,mollify,pacify
propriety,correctness,decorum,legitimacy,morality,rectitude
proscribe,forbid,outlaw,prohibit,ban,banish
pungent,acid,acrid,aromatic,bitter,peppery
qualified,accomplished,adequate,capable,certified,competent
quibble,nicety,artifice,cavil,criticism,dodge
quiescent,asleep,at rest,deactivated,dormant,fallow
rarefied,esoteric,exalted,lofty,elevated,select
recalcitrant,fractious,obstinate,rebellious,unruly,wayward
recant,annul,back down,back off,backtrack,contradict
recluse,hermit,anchorite,ascetic,cenobite,eremite
recondite,abstruse,academic,acroamatic,arcane,cabalistic
refractory,disobedient,headstrong,mulish,obstinate,unmanageable
refute,contradict,counter,disprove,expose,oppose
relegate,consign,entrust,refer,accredit,charge
reproach,disgrace,abuse,admonishment,admonition,blame
reprobate,bad,corrupt,degenerate,foul,wanton
repudiate,abandon,break with,disavow,dismiss,disown
rescind,abolish,abrogate,annul,cancel,dismantle
resolution,decision,settlement,verdict,aim,boldness
resolve,boldness,courage,firmness,intention,steadfastness
reticent,bashful,hesitant,mum,reserved,restrained
reverent,appreciative,deferential,gracious,polite,reverential
sage,contemplative,cunning,enlightened,knowing,sharp
salubrious,beneficial,good,healthful,healthy,hygienic
sanction,approval,acquiescence,allowance,approbation,assent
satiate,gratify,indulge,nauseate,sate,slake
saturate,douse,imbue,immerse,impregnate,infuse
savor,odor,piquancy,relish,salt,sapidity
secrete,stash,stow,bury,cache,conceal
shard,fragment,particle,remnant,bit,butt
skeptic,agnostic,cynic,dissenter,doubter,pessimist
solicious,salacious,solicitors,delicious,solicits,malicious
soporific,anesthetic,calming,deadening,hypnotic,narcotic
specious,deceptive,erroneous,false,inaccurate,incorrect
spectrum,rainbow,chromatic spectrum,hue cycle,area,catalogue
sporadic,desultory,fitful,infrequent,intermittent,irregular
stigma,scar,stain,blame,blemish,blot
stint,assignment,duty,job,spell,stretch
stipulate,designate,guarantee,impose,lay down,provide
stolid,impassive,blunt,bovine,dense,doltish
striated,band,dapple,daub,fleck,marble
strut,prance,sashay,stalk,stride,swagger
subpoena,decree,mandate,summons,warrant,command
subside,abate,descend,diminish,dwindle,ease
substantiate,affirm,confirm,corroborate,debunk,demonstrate
supersede,annul,overrule,repudiate,set aside,supplant
supposition,conjecture,guesswork,hunch,hypothesis,presumption
tacit,implicit,implied,indirect,unspoken,alluded to
tangential,extraneous,unrelated,digressive,divergent,diverging
tenuous,delicate,dubious,flimsy,insubstantial,nebulous
tirade,denunciation,diatribe,harangue,invective,ranting
torpor,apathy,disinterest,dormancy,drowsiness,dullness
tortuous,circuitous,convoluted,indirect,labyrinthine,meandering
tractable,acquiescent,amenable,biddable,complaisant,compliant
transgression,breach,crime,error,fault,infraction
truculence,aggression,aggressiveness,attack,backbone,bellicoseness
vacillate,dither,fluctuate,oscillate,seesaw,waffle
venerate,cherish,esteem,exalt,hallow,idolize
veracious,accurate,credible,dependable,direct,ethical
verbose,bombastic,circumlocutory,diffuse,flowery,full of air
viable,applicable,feasible,possible,usable,workable
viscous,gooey,slimy,syrupy,adhesive,clammy
vituperative,calumniating,castigating,censorious,contumelious,defamatory
volatile,buoyant,capricious,elusive,erratic,fickle
warranted,allowed,assured,certified,guaranteed,justified
wary,attentive,circumspect,considerate,distrustful,frugal
welter,jumble,confusion,grovel,overturn,roll
whimsical,amusing,comical,droll,eccentric,funny
zealot,activist,diehard,extremist,fanatic,maniac
